"","number","fieldnumber","depth_capture_range_ft","depth_capture_avg_m","depth_avg","weight_g","SL_mm","TL_mm","sex","gonad_weight_g","guts_preserved","whole_fish_preserved","notes","gonad_index","tissues_taken_for.SIA...S...Scale..M...Muscle..H...Heart.","depth_categorical","muscle_ctotal","muscle_ntotal","scale_ctotal","scale_ntotal","heart_ctotal","heart_ntotal","calibration","tp","tissue","c","n"
"47","CUR_LION19017","CURSH19-09","40 - 80 ft",15.24,50,181,183,247,"M","Not Recorded","YES","YES","","Spawning capable","S, M, H","shallow",192.51,61.1,110.28,37.74,175.02,45.89,"average",2.34558823529412,"heart",-17.27,8.3
"48","CUR_LION19017","CURSH19-09","40 - 80 ft",15.24,50,181,183,247,"M","Not Recorded","YES","YES","","Spawning capable","S, M, H","shallow",192.51,61.1,110.28,37.74,175.02,45.89,"average",2.34558823529412,"scale",-14.29,8.36
"49","CUR_LION19018","CURSH19-09","40 - 80 ft",18.288,60,246,191,254,"M","Not Recorded","YES","YES","","Spawning Capable","S, M, H","shallow",189.84,59.07,122.79,42.76,183.49,47.4,"single",2.49117647058824,"muscle",-16.26,9.07
"50","CUR_LION19018","CURSH19-09","40 - 80 ft",18.288,60,246,191,254,"M","Not Recorded","YES","YES","","Spawning Capable","S, M, H","shallow",189.84,59.07,122.79,42.76,183.49,47.4,"single",2.49117647058824,"heart",-17.09,8.92
"51","CUR_LION19018","CURSH19-09","40 - 80 ft",18.288,60,246,191,254,"M","Not Recorded","YES","YES","","Spawning Capable","S, M, H","shallow",189.84,59.07,122.79,42.76,183.49,47.4,"single",2.49117647058824,"scale",-13.97,8.88
"52","CUR_LION19019","CURSH19-09","40 - 80 ft",21.336,70,310,208,274,"M","Not Recorded","YES","YES","","Spawning capable","S, M, H","shallow",190.2,57.58,121.37,41,180.34,47.75,"single",2.63529411764706,"muscle",-16.16,9.56
"53","CUR_LION19019","CURSH19-09","40 - 80 ft",21.336,70,310,208,274,"M","Not Recorded","YES","YES","","Spawning capable","S, M, H","shallow",190.2,57.58,121.37,41,180.34,47.75,"single",2.63529411764706,"heart",-16.74,9.06
"54","CUR_LION19019","CURSH19-09","40 - 80 ft",21.336,70,310,208,274,"M","Not Recorded","YES","YES","","Spawning capable","S, M, H","shallow",190.2,57.58,121.37,41,180.34,47.75,"single",2.63529411764706,"scale",-14.23,8.86
"55","CUR_LION19020","CURSH19-09","40 - 80 ft",24.384,80,535,252,329,"M","Not Recorded","YES","YES","Could not locate testes in the bag, but given the size of the individual, it was most likely spawning capable","*Spawning capable?","S, M, H","shallow",187.24,59.37,123.31,42.56,186.72,50.24,"single",2.44411764705882,"muscle",-16.8,8.91
"56","CUR_LION19020","CURSH19-09","40 - 80 ft",24.384,80,535,252,329,"M","Not Recorded","YES","YES","Could not locate testes in the bag, but given the size of the individual, it was most likely spawning capable","*Spawning capable?","S, M, H","shallow",187.24,59.37,123.31,42.56,186.72,50.24,"single",2.44411764705882,"heart",-17.54,9.45
